# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 4.200000e+01
# Aref        : 1.400000e+03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	5.464512e-03	2.386127e-02	-3.196746e-07	5.464352e-03	-5.464672e-03
1             	7.979114e-01	4.054193e+01	2.267434e+00	1.931628e+00	3.358056e-01
2             	4.314679e-01	1.853695e+01	3.184343e+00	2.023639e+00	1.160703e+00
3             	1.442027e-01	2.869075e+00	1.990473e+00	1.139439e+00	8.510337e-01
4             	8.773204e-02	3.599742e-01	1.263641e+00	7.195525e-01	5.440884e-01
5             	6.472574e-02	-2.197397e-01	5.830018e-01	3.562266e-01	2.267752e-01
6             	5.353969e-02	-1.606425e-01	4.189263e-01	2.630028e-01	1.559235e-01
7             	2.084016e-02	4.584511e-02	1.903350e-01	1.160077e-01	7.432737e-02
8             	-3.917865e-02	-7.404448e-01	4.784094e-02	-1.525818e-02	6.309912e-02
9             	6.657074e-03	-2.030901e-01	-7.436323e-02	-3.052454e-02	-4.383869e-02
10            	1.646743e+00	2.008846e+01	-1.154755e+00	1.069366e+00	-2.224120e+00
11            	-1.996604e+01	-1.080749e+02	8.263717e+01	2.135255e+01	6.128462e+01
12            	1.011731e+01	2.961316e+02	1.350841e+02	7.765935e+01	5.742474e+01
13            	1.191658e+01	2.405406e+02	1.354063e+02	7.961973e+01	5.578658e+01
14            	4.840555e+00	5.224627e+01	1.369057e+02	7.329340e+01	6.361229e+01
15            	2.123114e+00	-4.613749e-01	1.346806e+02	6.946341e+01	6.521718e+01
16            	1.512191e+00	3.210295e+00	1.556579e+02	7.934113e+01	7.631675e+01
17            	6.315930e-01	3.632901e+01	1.833729e+02	9.231806e+01	9.105487e+01
18            	-2.473463e+00	3.597750e+01	1.875483e+02	9.130069e+01	9.624761e+01
19            	-5.505838e+00	1.767917e+01	6.312476e+01	2.605654e+01	3.706822e+01
20            	-7.787541e+00	7.377218e+00	3.862102e+00	-5.856490e+00	9.718592e+00
21            	-7.287409e+00	1.176112e+01	-3.896251e+01	-2.676866e+01	-1.219385e+01
22            	-5.380536e+00	2.097336e+01	-6.304884e+01	-3.690495e+01	-2.614388e+01
23            	-3.125331e+00	1.676601e+01	-7.729187e+01	-4.177126e+01	-3.552060e+01
24            	-1.851147e+00	-1.024683e+01	-4.620355e+01	-2.495292e+01	-2.125063e+01
25            	-1.745635e+00	-3.075113e+01	-1.168820e+01	-7.589733e+00	-4.098463e+00
26            	-2.092259e+00	-3.727130e+01	-8.521128e+00	-6.352823e+00	-2.168305e+00
27            	-2.364003e+00	-4.058175e+01	-6.638148e+00	-5.683077e+00	-9.550707e-01
28            	-2.398173e+00	-4.074608e+01	-1.213992e+00	-3.005168e+00	1.791177e+00
29            	-2.364680e+00	-3.883750e+01	3.861257e+00	-4.340520e-01	4.295309e+00
30            	-2.215850e+00	-3.520532e+01	5.779741e+00	6.740206e-01	5.105720e+00
31            	-1.977355e+00	-3.091357e+01	4.922335e+00	4.838121e-01	4.438523e+00
32            	-1.704538e+00	-2.701588e+01	-1.385113e+00	-2.397095e+00	1.011982e+00
33            	-1.454325e+00	-2.338506e+01	-9.982826e+00	-6.445738e+00	-3.537087e+00
34            	-1.248326e+00	-2.002651e+01	-1.594862e+01	-9.222637e+00	-6.725985e+00
35            	-1.102008e+00	-1.731685e+01	-1.873651e+01	-1.047026e+01	-8.266249e+00
36            	-9.920510e-01	-1.513467e+01	-2.026650e+01	-1.112530e+01	-9.141198e+00
37            	-8.975139e-01	-1.326567e+01	-2.096833e+01	-1.138168e+01	-9.586649e+00
38            	-8.000321e-01	-1.142203e+01	-2.082049e+01	-1.121028e+01	-9.610215e+00
39            	-7.056092e-01	-9.722983e+00	-1.787284e+01	-9.642030e+00	-8.230812e+00
40            	-6.212964e-01	-8.370642e+00	-1.523125e+01	-8.236922e+00	-6.994329e+00
41            	-5.449165e-01	-7.216651e+00	-1.433562e+01	-7.712727e+00	-6.622894e+00
42            	-4.785035e-01	-6.262734e+00	-1.452083e+01	-7.738917e+00	-6.781911e+00
43            	-4.177840e-01	-5.313095e+00	-1.864971e+01	-9.742637e+00	-8.907069e+00
44            	-3.617943e-01	-4.301388e+00	-2.320686e+01	-1.196523e+01	-1.124164e+01
45            	-3.086068e-01	-3.316845e+00	-2.670806e+01	-1.366264e+01	-1.304542e+01
46            	-2.633210e-01	-2.543508e+00	-2.728924e+01	-1.390794e+01	-1.338130e+01
