# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.253228e-01	3.446032e-01	4.912393e-01	4.885080e-01
3             	6.076874e-02	7.778991e-02	2.119534e-01	2.322229e-01
4             	6.380025e-02	5.860275e-02	1.679068e-01	1.938115e-01
5             	6.682666e-02	3.375985e-02	7.007277e-02	8.166346e-02
6             	8.037766e-02	2.210494e-02	4.999838e-02	5.784220e-02
7             	1.082414e-01	1.567044e-02	4.340630e-02	5.060880e-02
8             	9.151076e-02	6.090766e-02	4.035307e-01	2.412429e-01
9             	7.456578e-02	3.404463e-02	1.575229e-01	1.816617e-01
10            	3.882804e-01	2.791927e-02	8.568056e-02	1.596265e-01
11            	7.252484e-01	7.632800e-01	7.716683e-01	6.433641e-01
12            	4.220233e-01	5.093645e-01	5.382235e-01	5.716569e-01
13            	4.311842e-02	4.455106e-01	4.944113e-01	5.382684e-01
14            	5.627627e-02	3.993359e-01	4.036804e-01	4.445528e-01
15            	5.477492e-02	3.588730e-01	3.827399e-01	4.003287e-01
16            	8.208315e-02	3.454944e-01	3.378102e-01	3.927915e-01
17            	1.237447e-01	3.215251e-01	3.156508e-01	4.027228e-01
18            	1.264149e-01	3.148352e-01	3.076024e-01	3.819178e-01
19            	1.149944e-01	3.021070e-01	3.101412e-01	3.691283e-01
20            	1.438715e-01	2.838123e-01	3.165264e-01	3.689960e-01
21            	1.512222e-01	2.573738e-01	2.934911e-01	3.611467e-01
22            	1.369859e-01	2.393851e-01	2.856676e-01	3.406791e-01
23            	1.295106e-01	2.188641e-01	2.687479e-01	3.166299e-01
24            	1.199142e-01	2.066272e-01	2.517019e-01	2.893998e-01
25            	1.185103e-01	1.995239e-01	2.380370e-01	2.603847e-01
26            	1.207482e-01	1.825716e-01	2.332588e-01	2.346829e-01
27            	1.170823e-01	1.637557e-01	2.250847e-01	2.159706e-01
28            	1.108330e-01	1.442729e-01	2.159564e-01	2.066477e-01
29            	1.049594e-01	1.272222e-01	2.050536e-01	2.024957e-01
30            	1.043704e-01	1.133409e-01	1.977986e-01	1.991796e-01
31            	1.087262e-01	1.079186e-01	1.934857e-01	1.927934e-01
32            	1.134895e-01	1.067994e-01	1.878130e-01	1.850149e-01
33            	1.126755e-01	1.049376e-01	1.801258e-01	1.771564e-01
34            	1.036189e-01	1.014187e-01	1.691278e-01	1.708822e-01
35            	9.424568e-02	9.794343e-02	1.564231e-01	1.691286e-01
36            	8.677444e-02	9.333189e-02	1.428520e-01	1.651622e-01
