# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 4.200000e+01
# Aref        : 1.400000e+03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.134654e-02	-1.890586e+00	-1.262868e+00	-6.427804e-01	-6.200873e-01
2             	-2.336162e-02	-1.034688e+01	-3.085449e+00	-1.566086e+00	-1.519363e+00
3             	-6.216797e-03	6.564111e-02	8.108454e+00	4.048010e+00	4.060444e+00
4             	2.608850e-04	5.038539e+00	1.189400e+01	5.947261e+00	5.946739e+00
5             	3.506059e-04	6.202254e+00	9.422069e+00	4.711385e+00	4.710684e+00
6             	-1.751441e-03	5.300473e+00	5.080180e+00	2.538339e+00	2.541842e+00
7             	-3.994985e-03	3.491847e+00	3.481326e+00	1.736668e+00	1.744658e+00
8             	-5.746325e-03	1.550802e+00	3.816369e+00	1.902438e+00	1.913931e+00
9             	-4.942457e-03	8.675613e-01	2.709993e+00	1.350054e+00	1.359939e+00
10            	-3.334071e-03	7.569976e-01	1.155343e+00	5.743376e-01	5.810057e-01
11            	-2.131546e-03	7.023630e-01	1.679424e-01	8.183964e-02	8.610273e-02
12            	-1.643723e-03	3.611340e-01	-4.310215e-01	-2.171545e-01	-2.138670e-01
13            	-1.678942e-03	1.964481e-02	-2.850047e-01	-1.441813e-01	-1.408234e-01
14            	-1.777698e-03	-1.649599e-01	-5.592942e-02	-2.974241e-02	-2.618701e-02
15            	-1.597016e-03	-1.815200e-01	-7.363048e-02	-3.841226e-02	-3.521823e-02
16            	-1.397606e-03	-1.562247e-01	-1.146969e-01	-5.874604e-02	-5.595083e-02
17            	-1.251394e-03	-1.517123e-01	5.402595e-04	-9.812642e-04	1.521524e-03
18            	-1.148452e-03	-1.448452e-01	3.375595e-02	1.572952e-02	1.802643e-02
19            	-1.054522e-03	-1.388453e-01	2.232148e-02	1.010622e-02	1.221526e-02
20            	-9.432950e-04	-1.321872e-01	-7.009614e-04	-1.293776e-03	5.928143e-04
21            	-8.204507e-04	-1.147169e-01	-8.636827e-02	-4.400459e-02	-4.236368e-02
