# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 4.200000e+01
# Aref        : 1.400000e+03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	6.905234e-02	4.026660e+01	2.484412e+00	1.311258e+00	1.173153e+00
2             	4.268347e-02	1.816719e+01	3.044361e+00	1.564864e+00	1.479497e+00
3             	1.013320e-02	2.370622e+00	2.149053e+00	1.084660e+00	1.064393e+00
4             	3.456378e-03	-1.840220e-01	1.384881e+00	6.958969e-01	6.889842e-01
5             	2.119225e-03	-6.733798e-01	6.138291e-01	3.090338e-01	3.047953e-01
6             	2.108614e-03	-5.593684e-01	4.316512e-01	2.179342e-01	2.137170e-01
7             	3.183727e-03	-2.690649e-02	-1.444396e-02	-4.038252e-03	-1.040571e-02
8             	2.701232e-03	8.067421e-02	-5.747466e-02	-2.603610e-02	-3.143856e-02
9             	2.766089e-03	2.166943e-01	-1.031583e-01	-4.881304e-02	-5.434522e-02
10            	2.930675e-03	3.788993e-01	-1.218574e-01	-5.799805e-02	-6.385940e-02
11            	3.166258e-03	5.316305e-01	-1.003079e-01	-4.698769e-02	-5.332021e-02
12            	3.269792e-03	6.471151e-01	-4.968016e-02	-2.157029e-02	-2.810987e-02
13            	3.298714e-03	6.898687e-01	-4.186015e-03	1.205707e-03	-5.391722e-03
14            	3.349655e-03	7.060242e-01	3.865592e-02	2.267761e-02	1.597830e-02
15            	3.366623e-03	7.066509e-01	8.112797e-02	4.393061e-02	3.719736e-02
16            	3.348559e-03	6.939200e-01	1.187858e-01	6.274146e-02	5.604435e-02
17            	3.316733e-03	6.710116e-01	1.468664e-01	7.674993e-02	7.011647e-02
18            	3.267012e-03	6.409006e-01	1.610838e-01	8.380891e-02	7.727489e-02
19            	3.212157e-03	6.090139e-01	1.588099e-01	8.261713e-02	7.619281e-02
20            	3.160400e-03	5.812626e-01	1.406817e-01	7.350126e-02	6.718046e-02
