# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.861092e-01	4.183465e-01	6.028276e-01	6.052299e-01
3             	1.719119e-01	2.924165e-01	4.167120e-01	4.156795e-01
4             	5.855988e-02	2.388765e-01	3.560343e-01	3.555659e-01
5             	6.127158e-02	2.257737e-01	3.648897e-01	3.658066e-01
6             	8.097046e-02	2.296615e-01	3.667926e-01	3.697915e-01
7             	8.988864e-02	2.224608e-01	3.521847e-01	3.584278e-01
8             	5.229718e-02	2.235853e-01	3.420671e-01	3.425542e-01
9             	3.153975e-02	2.584336e-01	3.584273e-01	3.541930e-01
10            	2.666958e-02	2.303104e-01	3.485062e-01	3.387073e-01
11            	5.183934e-02	1.988698e-01	3.286784e-01	3.280636e-01
12            	7.666656e-02	1.931318e-01	2.967514e-01	3.015007e-01
13            	1.038563e-01	1.948446e-01	2.870699e-01	2.903883e-01
14            	1.158937e-01	1.888764e-01	3.004288e-01	2.996544e-01
15            	1.153643e-01	1.953944e-01	3.003539e-01	2.949066e-01
16            	1.164940e-01	2.014705e-01	2.909162e-01	3.003783e-01
17            	1.171763e-01	2.039455e-01	2.915475e-01	3.070882e-01
18            	1.094649e-01	2.154590e-01	3.011621e-01	3.151312e-01
19            	9.524532e-02	2.206842e-01	3.118077e-01	3.160509e-01
20            	9.128630e-02	2.216354e-01	3.216872e-01	3.137422e-01
21            	8.986296e-02	2.183040e-01	3.275805e-01	3.172965e-01
22            	9.197074e-02	2.208463e-01	3.370295e-01	3.240908e-01
23            	1.014423e-01	2.168646e-01	3.475976e-01	3.164701e-01
24            	1.019325e-01	2.092681e-01	3.441574e-01	3.112328e-01
25            	9.903438e-02	1.950370e-01	3.280486e-01	3.164240e-01
26            	9.564125e-02	1.734024e-01	3.068793e-01	3.207608e-01
27            	8.971140e-02	1.545274e-01	2.846083e-01	3.127808e-01
