# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.308254e-01	3.639311e-01	4.891644e-01	4.910817e-01
3             	6.659503e-02	8.574764e-02	2.399256e-01	2.055180e-01
4             	6.669879e-02	7.574930e-02	2.155318e-01	2.189459e-01
5             	7.127500e-02	5.332148e-02	9.150987e-02	1.010312e-01
6             	8.370192e-02	4.180062e-02	6.405957e-02	7.611123e-02
7             	9.174720e-02	3.289972e-02	5.494538e-02	6.999990e-02
8             	6.812120e-02	7.315597e-02	7.854882e-02	8.283303e-02
9             	6.295338e-02	3.415893e-02	5.565011e-02	6.653717e-02
10            	6.017684e-02	2.363615e-02	5.351703e-02	6.843671e-02
11            	6.123412e-02	2.207491e-02	6.020794e-02	7.659378e-02
12            	6.291407e-02	2.665323e-02	6.766906e-02	8.388896e-02
13            	6.362583e-02	3.020620e-02	7.273484e-02	6.908806e-02
14            	6.142018e-02	2.851003e-02	5.831543e-02	5.598737e-02
15            	5.610324e-02	2.969145e-02	4.721664e-02	5.035607e-02
16            	5.173698e-02	3.057970e-02	3.998127e-02	4.152689e-02
17            	4.859427e-02	3.024650e-02	3.381741e-02	3.506038e-02
18            	4.630511e-02	2.951641e-02	2.858251e-02	2.961897e-02
19            	4.527677e-02	2.733275e-02	2.419317e-02	2.501826e-02
20            	4.531668e-02	2.394583e-02	2.050210e-02	2.108531e-02
21            	4.698087e-02	1.980833e-02	1.823266e-02	1.848817e-02
22            	4.934920e-02	1.575427e-02	1.690200e-02	1.714858e-02
23            	5.146838e-02	1.276316e-02	1.587291e-02	1.610837e-02
24            	5.214403e-02	1.090252e-02	1.506018e-02	1.532012e-02
25            	4.918578e-02	9.764608e-03	1.432851e-02	1.454514e-02
26            	4.698129e-02	9.045092e-03	1.369075e-02	1.384939e-02
27            	4.525530e-02	8.588934e-03	1.305110e-02	1.309396e-02
28            	4.404153e-02	8.263730e-03	1.225018e-02	1.216962e-02
29            	4.267909e-02	8.020743e-03	1.121301e-02	1.105120e-02
30            	4.174525e-02	7.743602e-03	1.013187e-02	9.967843e-03
31            	4.084811e-02	7.454668e-03	9.283764e-03	9.051356e-03
32            	4.000266e-02	7.118358e-03	8.518737e-03	8.307586e-03
33            	3.926618e-02	6.762585e-03	7.955648e-03	7.761049e-03
34            	3.849931e-02	6.412638e-03	7.425449e-03	7.331763e-03
35            	3.754503e-02	6.082388e-03	7.042386e-03	6.949840e-03
36            	3.643811e-02	5.786600e-03	6.625486e-03	6.591771e-03
37            	3.491278e-02	5.508090e-03	6.286234e-03	6.223862e-03
38            	3.304613e-02	5.247968e-03	5.883060e-03	5.862316e-03
39            	3.071623e-02	4.945231e-03	5.531515e-03	5.467371e-03
40            	2.825126e-02	4.635217e-03	5.148395e-03	5.093872e-03
41            	2.593562e-02	4.364767e-03	4.815886e-03	4.709270e-03
42            	2.373700e-02	4.165211e-03	4.478774e-03	4.401275e-03
43            	2.198017e-02	4.007872e-03	4.236256e-03	4.100428e-03
44            	2.021270e-02	3.878615e-03	3.986172e-03	3.883910e-03
45            	1.875279e-02	3.765755e-03	3.817019e-03	3.673608e-03
46            	1.724088e-02	3.656776e-03	3.631306e-03	3.513470e-03
47            	1.606096e-02	3.552473e-03	3.514202e-03	3.359038e-03
48            	1.475571e-02	3.446723e-03	3.375157e-03	3.243938e-03
49            	1.372510e-02	3.345834e-03	3.286590e-03	3.132200e-03
50            	1.260980e-02	3.246966e-03	3.176799e-03	3.046442e-03
51            	1.168228e-02	3.156202e-03	3.099806e-03	2.954772e-03
52            	1.069987e-02	3.072529e-03	3.005156e-03	2.879003e-03
53            	9.885140e-03	2.996034e-03	2.935584e-03	2.798104e-03
54            	9.037315e-03	2.927851e-03	2.856638e-03	2.733661e-03
55            	8.326378e-03	2.864533e-03	2.800458e-03	2.670773e-03
56            	7.616261e-03	2.807754e-03	2.737913e-03	2.623304e-03
57            	7.027678e-03	2.754060e-03	2.693837e-03	2.576621e-03
58            	6.425150e-03	2.704194e-03	2.642019e-03	2.538946e-03
59            	5.925953e-03	2.656512e-03	2.605356e-03	2.500651e-03
60            	5.424611e-03	2.611291e-03	2.559957e-03	2.467367e-03
61            	5.007440e-03	2.569372e-03	2.510130e-03	2.427765e-03
62            	4.588252e-03	2.529175e-03	2.448213e-03	2.375403e-03
63            	4.233737e-03	2.491360e-03	2.404206e-03	2.324914e-03
64            	3.887244e-03	2.453939e-03	2.359552e-03	2.288360e-03
65            	3.599752e-03	2.418649e-03	2.332102e-03	2.257532e-03
66            	3.321668e-03	2.384090e-03	2.300285e-03	2.236124e-03
67            	3.088721e-03	2.351537e-03	2.277754e-03	2.213335e-03
68            	2.864883e-03	2.320004e-03	2.249592e-03	2.193845e-03
69            	2.674377e-03	2.290041e-03	2.226147e-03	2.170891e-03
70            	2.485292e-03	2.258187e-03	2.193477e-03	2.144923e-03
71            	2.327373e-03	2.227698e-03	2.162103e-03	2.115497e-03
72            	2.178064e-03	2.199116e-03	2.130488e-03	2.090147e-03
73            	2.049463e-03	2.171819e-03	2.101764e-03	2.062849e-03
74            	1.924223e-03	2.145163e-03	2.073386e-03	2.039333e-03
75            	1.819227e-03	2.120069e-03	2.048017e-03	2.015375e-03
76            	1.715650e-03	2.095179e-03	2.022578e-03	1.993813e-03
77            	1.630117e-03	2.071868e-03	1.998896e-03	1.971383e-03
78            	1.545024e-03	2.048321e-03	1.975068e-03	1.951537e-03
79            	1.474678e-03	2.026234e-03	1.952526e-03	1.930246e-03
80            	1.404732e-03	2.003925e-03	1.929722e-03	1.911009e-03
81            	1.346361e-03	1.983088e-03	1.907788e-03	1.890342e-03
82            	1.288633e-03	1.961867e-03	1.885678e-03	1.871946e-03
83            	1.240786e-03	1.941949e-03	1.865017e-03	1.852383e-03
84            	1.192295e-03	1.921771e-03	1.844045e-03	1.834809e-03
85            	1.153064e-03	1.902943e-03	1.824735e-03	1.816344e-03
86            	1.111835e-03	1.883600e-03	1.805154e-03	1.799300e-03
87            	1.079176e-03	1.865587e-03	1.786497e-03	1.781575e-03
88            	1.043750e-03	1.847165e-03	1.768485e-03	1.765171e-03
89            	1.017686e-03	1.837164e-03	1.811886e-03	1.807602e-03
90            	9.705084e-04	1.811164e-03	1.750283e-03	1.765927e-03
91            	9.428893e-04	1.794503e-03	1.717943e-03	1.727042e-03
92            	9.117990e-04	1.778015e-03	1.698588e-03	1.701751e-03
93            	9.437558e-04	1.755476e-03	1.654862e-03	1.666230e-03
94            	8.804556e-04	1.752665e-03	1.705059e-03	1.720193e-03
95            	8.521032e-04	1.729807e-03	1.685301e-03	1.699560e-03
96            	8.310123e-04	1.712397e-03	1.640985e-03	1.653966e-03
97            	8.186485e-04	1.698266e-03	1.624422e-03	1.645084e-03
98            	7.993511e-04	1.681718e-03	1.627282e-03	1.642200e-03
99            	7.877711e-04	1.667772e-03	1.600293e-03	1.625426e-03
100           	7.711156e-04	1.651768e-03	1.597231e-03	1.616370e-03
101           	7.604419e-04	1.637966e-03	1.587667e-03	1.605142e-03
102           	7.461917e-04	1.622997e-03	1.573587e-03	1.591391e-03
103           	7.373503e-04	1.609711e-03	1.560494e-03	1.578258e-03
104           	7.243644e-04	1.595216e-03	1.545617e-03	1.564350e-03
105           	7.164608e-04	1.582256e-03	1.532289e-03	1.551226e-03
106           	7.044377e-04	1.568130e-03	1.517651e-03	1.537460e-03
107           	6.971297e-04	1.555373e-03	1.504281e-03	1.524360e-03
108           	6.867419e-04	1.541541e-03	1.489939e-03	1.510654e-03
109           	6.797439e-04	1.529015e-03	1.476742e-03	1.497654e-03
110           	6.699146e-04	1.515330e-03	1.462753e-03	1.484081e-03
111           	6.633369e-04	1.502921e-03	1.449454e-03	1.471066e-03
112           	6.545111e-04	1.489477e-03	1.435392e-03	1.457432e-03
113           	6.483102e-04	1.477356e-03	1.422216e-03	1.444565e-03
114           	6.399420e-04	1.464137e-03	1.408403e-03	1.431053e-03
115           	6.339820e-04	1.452205e-03	1.395446e-03	1.418364e-03
116           	6.265179e-04	1.439285e-03	1.381955e-03	1.405176e-03
117           	6.210994e-04	1.427682e-03	1.369197e-03	1.392777e-03
118           	6.138158e-04	1.414942e-03	1.355789e-03	1.379411e-03
119           	6.085193e-04	1.403389e-03	1.342844e-03	1.366983e-03
120           	6.020001e-04	1.390834e-03	1.329843e-03	1.353805e-03
121           	5.967739e-04	1.379453e-03	1.317169e-03	1.341685e-03
